"country","state","lat","long","week","population","confirmed","death","prevalence","log_prevalence","prev_day_total","new_cases","incidence","log_incidence","prev_day_actual"
"US","Iowa",42.03657094,-93.46499005,2020-06-22,3155070,28514,706,0.00903751739264105,-2.21606325971218,25958,2556,0.000810124656505244,-2.29451648536805,2037
"US","Iowa",42.03657094,-93.46499005,2020-06-29,3155070,31501,721,0.00998424757612351,-2.20741812729779,28514,2987,0.000946730183482458,-2.29316232520372,2556
"US","Iowa",42.03657094,-93.46499005,2020-07-06,3155070,35375,752,0.0112121125680254,-2.19631597712621,31501,3874,0.00122786499190192,-2.29038121425968,2987
"US","Iowa",42.03657094,-93.46499005,2020-07-13,3155070,38784,793,0.0122925957268777,-2.18664735238668,35375,3409,0.00108048315885226,-2.29183821650867,3874
"US","Iowa",42.03657094,-93.46499005,2020-07-20,3155070,42352,829,0.0134234739641276,-2.176626907663,38784,3568,0.00113087823724989,-2.29133977686519,3409
"US","Iowa",42.03657094,-93.46499005,2020-07-27,3155070,45716,878,0.0144896943649428,-2.16727046558494,42352,3364,0.0010662204008152,-2.29197932945099,3568
"US","Iowa",42.03657094,-93.46499005,2020-08-03,3155070,48913,931,0.0155029840859315,-2.15845891311221,45716,3197,0.00101328972098876,-2.29250318940102,3364
"US","Iowa",42.03657094,-93.46499005,2020-08-10,3155070,52447,975,0.016623086017109,-2.14880803137816,48913,3534,0.00112010193117744,-2.29144634056217,3197
"US","Iowa",42.03657094,-93.46499005,2020-08-17,3155070,56439,1037,0.0178883511300859,-2.13801727928804,52447,3992,0.00126526511297689,-2.2900118178117,3534
"US","Iowa",42.03657094,-93.46499005,2020-08-24,3155070,64580,1113,0.0204686425340801,-2.11636578784954,56439,8141,0.00258029140399421,-2.27710945627642,3992
"US","Iowa",42.03657094,-93.46499005,2020-08-31,3155070,70207,1167,0.0222521211890703,-2.10166979953785,64580,5627,0.00178347865499022,-2.28490748022718,8141
"US","Iowa",42.03657094,-93.46499005,2020-09-07,3155070,74664,1220,0.0236647681350968,-2.09018085716796,70207,4457,0.00141264694602655,-2.28855747226877,5627
"US","Iowa",42.03657094,-93.46499005,2020-09-14,3155070,80394,1265,0.025480892658483,-2.07560178173467,74664,5730,0.00181612452338617,-2.28458679326939,4457
"US","Iowa",42.03657094,-93.46499005,2020-09-21,3155070,86601,1316,0.0274482024170621,-2.06004525248025,80394,6207,0.00196730975857905,-2.28310300962953,5730
"US","Iowa",42.03657094,-93.46499005,2020-09-28,3155070,92728,1387,0.029390156161353,-2.04492297275066,86601,6127,0.00194195374429093,-2.28335170862421,6207
"US","Iowa",42.03657094,-93.46499005,2020-10-05,3155070,99919,1462,0.0316693448956758,-2.02746146197618,92728,7191,0.00227918873432285,-2.28004906040208,6127
"US","Iowa",42.03657094,-93.46499005,2020-10-12,3155070,107309,1532,0.0340116067155404,-2.00982886550213,99919,7390,0.00234226181986454,-2.27943257481498,7191
"US","Iowa",42.03657094,-93.46499005,2020-10-19,3155070,116212,1635,0.0368334141556289,-1.98899104809561,107309,8903,0.00282180744008849,-2.27475781382723,7390
"US","Iowa",42.03657094,-93.46499005,2020-10-26,3155070,130927,1733,0.0414973360337489,-1.95547438869268,116212,14715,0.00466392187811998,-2.25700080618025,8903
"US","Iowa",42.03657094,-93.46499005,2020-11-02,3155070,154542,1845,0.0489821145014215,-1.90392901714489,130927,23615,0.00748477846767267,-2.23040603708959,14715
"US","Iowa",42.03657094,-93.46499005,2020-11-09,3155070,185775,1989,0.0588814194296799,-1.83959714475187,154542,31233,0.00989930492825833,-2.2081907421762,23615
"US","Iowa",42.03657094,-93.46499005,2020-11-16,3155070,211083,2202,0.0669027945497247,-1.79034370459758,185775,25308,0.00802137512004488,-2.22542615366286,31233
"US","Iowa",42.03657094,-93.46499005,2020-11-23,3155070,228021,2399,0.0722712966748757,-1.7586847385604,211083,16938,0.00536850212515095,-2.25029152885419,25308
"US","Kansas",38.48119447,-98.08607292,2020-01-20,2913314,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Kansas",38.48119447,-98.08607292,2020-01-27,2913314,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Kansas",38.48119447,-98.08607292,2020-02-03,2913314,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Kansas",38.48119447,-98.08607292,2020-02-10,2913314,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Kansas",38.48119447,-98.08607292,2020-02-17,2913314,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Kansas",38.48119447,-98.08607292,2020-02-24,2913314,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Kansas",38.48119447,-98.08607292,2020-03-02,2913314,1,0,3.43251705789352e-07,-2.30258166048288,0,1,3.43251705789352e-07,-2.30258166048288,0
"US","Kansas",38.48119447,-98.08607292,2020-03-09,2913314,8,1,2.74601364631482e-06,-2.3025576332346,1,7,2.40276194052546e-06,-2.3025610656633,1
"US","Kansas",38.48119447,-98.08607292,2020-03-16,2913314,65,2,2.23113608763079e-05,-2.30236200427142,8,57,1.95653472299931e-05,-2.30238945865939,7
"US","Kansas",38.48119447,-98.08607292,2020-03-23,2913314,330,7,0.000113273062910486,-2.30145300342023,65,265,9.09617020341783e-05,-2.30167588942456,57
"US","Kansas",38.48119447,-98.08607292,2020-03-30,2913314,751,18,0.000257782031047803,-2.30001058956335,330,421,0.000144508968137317,-2.30114104644994,265
"US","Kansas",38.48119447,-98.08607292,2020-04-06,2913314,1344,52,0.000461330292580889,-2.29798239873536,751,593,0.000203548261533086,-2.30055167916661,421
"US","Kansas",38.48119447,-98.08607292,2020-04-13,2913314,1905,93,0.000653894499528715,-2.29606743415729,1344,561,0.000192564206947826,-2.30066130259653,593
